City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,yar-sale,66.8333,70.8333,-16.549999999999955,95,95,6.68,RU,1678374246
187,constitucion,-35.3333,-72.4167,18.620000000000005,73,100,2.93,CL,1678374030
188,zemio,5.0314,25.1361,28.900000000000034,51,78,1.69,CF,1678374246
189,yulara,-25.2406,130.9889,20.510000000000048,36,0,3.53,AU,1678374027
190,alamos,27.0167,-108.9333,21.650000000000034,23,99,1.01,MX,1678374246
191,togur,58.3631,82.8265,-22.95999999999998,98,10,2.17,RU,1678374247
192,kibala,9.1104,18.3463,34.89000000000004,30,100,1.96,TD,1678374247
193,calama,-22.4667,-68.9333,19.27000000000004,52,0,3.6,CL,1678374247
194,tiksi,71.6872,128.8694,-33.569999999999965,100,49,1.4,RU,1678373903
195,pisco,-13.7,-76.2167,25.03000000000003,78,0,3.6,PE,1678373973
196,sept-iles,50.2001,-66.3821,0.18000000000000682,84,3,2.68,CA,1678374248
197,faanui,-16.4833,-151.75,27.970000000000027,72,86,4.18,PF,1678373985
198,ambilobe,-13.2,49.05,25.230000000000018,83,91,1.87,MG,1678374248
199,codrington,-38.2667,141.9667,14.970000000000027,90,100,2.65,AU,1678373958
200,paamiut,61.994,-49.6678,-3.3799999999999955,64,7,3.96,GL,1678374072
201,inhambane,-23.865,35.3833,26.870000000000005,84,1,5.29,MZ,1678374061
202,pitman,39.7329,-75.1316,7.07000000000005,57,0,6.17,US,1678374249
203,chuy,-33.6971,-53.4616,28.30000000000001,52,0,4.19,UY,1678373975
204,bengkulu,-3.8004,102.2655,25.02000000000004,90,98,3.11,ID,1678373979
205,chongoyape,-6.6406,-79.3892,27.170000000000016,71,100,1.87,PE,1678374156
206,nuevo progreso,23.1667,-97.95,24.150000000000034,81,68,0.45,MX,1678374250
207,beloha,-25.1667,45.05,24.80000000000001,82,85,7.02,MG,1678374075
208,eureka,40.8021,-124.1637,7.360000000000014,70,94,2.68,US,1678373994
209,cayenne,4.9333,-52.3333,30.02000000000004,54,0,6.17,GF,1678373975
210,necochea,-38.5473,-58.7368,29.200000000000045,31,43,3.15,AR,1678373990
211,yeppoon,-23.1333,150.7333,24.620000000000005,87,38,4.79,AU,1678374250
212,phangnga,8.4509,98.5298,26.02000000000004,79,22,2.28,TH,1678374251
213,luanda,-8.8368,13.2343,30.0,66,0,7.72,AO,1678374031
214,majene,-3.5403,118.9707,25.590000000000032,85,100,1.6,ID,1678374068
215,sola,-13.8833,167.55,27.210000000000036,77,97,1.64,VU,1678374251
216,nioki,-2.7167,17.6833,29.590000000000032,60,94,2.31,CD,1678374251
217,ostrovnoy,68.0531,39.5131,-17.029999999999973,95,29,4.38,RU,1678374078
218,san cristobal,7.7669,-72.225,18.74000000000001,78,96,1.48,VE,1678374094
219,aykhal,66.0,111.5,-16.17999999999995,98,100,1.3,RU,1678373995
220,bethel,41.3712,-73.414,5.550000000000011,59,9,1.79,US,1678373987
221,george town,5.4112,100.3354,26.970000000000027,83,20,1.54,MY,1678373969
222,zeya,53.75,127.2667,-6.669999999999959,96,100,1.84,RU,1678374253
223,sao jose da coroa grande,-8.8978,-35.1478,29.720000000000027,59,40,4.72,BR,1678374253
224,vila do maio,15.1333,-23.2167,32.44,75,0,5.01,CV,1678374253
225,saskylakh,71.9167,114.0833,-23.47999999999999,100,100,1.22,RU,1678373981
226,kamina,-8.7386,24.9906,24.99000000000001,77,91,1.21,CD,1678374254
227,tessalit,20.1986,1.0114,37.879999999999995,5,0,4.6,ML,1678374254
228,kaitangata,-46.2817,169.8464,10.439999999999998,96,69,1.96,NZ,1678373977
229,lorengau,-2.0226,147.2712,27.27000000000004,78,100,0.65,PG,1678374055
230,greytown,-29.0642,30.5928,23.53000000000003,84,15,2.9,ZA,1678374009
231,palm coast,29.585,-81.2078,23.05000000000001,60,40,5.14,US,1678374255
232,pandavapura,12.5006,76.6733,26.150000000000034,29,92,4.17,IN,1678374255
233,whitehorse,60.7161,-135.0538,-15.549999999999955,65,100,7.72,CA,1678373910
234,biltine,14.5333,20.9167,36.72000000000003,7,81,6.77,TD,1678374255
235,klaksvik,62.2266,-6.589,-0.48999999999995225,57,100,7.32,FO,1678373973
236,kuching,1.55,110.3333,27.79000000000002,94,20,0.0,MY,1678374256
237,ende,-8.8432,121.6623,25.680000000000007,90,82,1.23,ID,1678374256
238,nanortalik,60.1432,-45.2371,-0.5199999999999818,60,88,2.94,GL,1678373971
239,port hardy,50.6996,-127.4199,1.8900000000000432,76,7,3.14,CA,1678374256
240,victor harbor,-35.5667,138.6167,14.82000000000005,80,72,0.12,AU,1678374256
241,sao filipe,14.8961,-24.4956,27.189999999999998,53,0,6.3,CV,1678374057
242,touros,-5.1989,-35.4608,29.600000000000023,66,86,7.93,BR,1678374099
243,nizwa,22.9333,57.5333,27.870000000000005,19,33,4.36,OM,1678374085
244,tasiilaq,65.6145,-37.6368,-6.359999999999957,92,100,7.83,GL,1678373965
245,gunupur,19.0833,83.8167,26.950000000000045,45,99,2.46,IN,1678374258
246,broome,42.2506,-75.833,0.35000000000002274,76,100,5.14,US,1678374258
247,coahuayana,18.7333,-103.6833,24.200000000000045,63,5,0.14,MX,1678373962
248,kushmurun,52.4503,64.6311,-5.359999999999957,86,100,6.76,KZ,1678374258
249,progreso,21.2833,-89.6667,27.28000000000003,63,0,4.61,MX,1678374150
250,shimoda,34.6667,138.95,13.950000000000045,82,90,5.09,JP,1678373994
251,duiwelskloof,-23.6934,30.14,29.890000000000043,42,0,3.46,ZA,1678374259
252,westport,41.1415,-73.3579,6.910000000000025,55,20,5.66,US,1678374259
253,banjar,-8.19,114.9675,25.210000000000036,91,41,1.25,ID,1678374071
254,nioro,13.35,-15.75,39.98000000000002,5,0,4.13,GM,1678374059
255,hokitika,-42.7167,170.9667,15.150000000000034,92,100,1.0,NZ,1678374259
256,awjilah,29.1081,21.2869,22.55000000000001,31,0,4.36,LY,1678374260
257,maxixe,-23.8597,35.3472,26.840000000000032,83,2,4.96,MZ,1678374019
258,teahupoo,-17.8333,-149.2667,21.980000000000018,79,53,5.21,PF,1678374079
259,margate,51.3813,1.3862,10.390000000000043,92,100,2.68,GB,1678374260
260,morant bay,17.8815,-76.4093,29.28000000000003,56,97,3.08,JM,1678374261
261,la tuque,47.4334,-72.7824,0.4000000000000341,94,100,3.43,CA,1678374261
262,tumarbong,10.3766,119.4579,23.670000000000016,91,12,2.05,PH,1678374261
263,teya,60.3778,92.6267,-19.619999999999976,93,94,2.95,RU,1678373999
